Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210621|2700.00WP,$SPX,"2,700.00",-35.03%,0.75,0.88,1.00,0.90,0.90,unch,8,0,0.00,57.43%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|2800.00WP,$SPX,"2,800.00",-32.63%,1.05,1.15,1.25,0.00,0.00,unch,0,0,0.00,54.48%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|2900.00WP,$SPX,"2,900.00",-30.22%,1.35,1.45,1.55,1.36,1.36,unch,19,0,0.00,51.07%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|3000.00WP,$SPX,"3,000.00",-27.81%,1.70,1.83,1.95,0.00,0.00,unch,0,0,0.00,48.47%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3100.00WP,$SPX,"3,100.00",-25.41%,2.20,2.30,2.40,2.20,2.20,unch,6,0,0.00,45.20%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|3150.00WP,$SPX,"3,150.00",-24.20%,2.45,2.55,2.65,0.00,0.00,unch,0,0,0.00,43.91%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3200.00WP,$SPX,"3,200.00",-23.00%,2.75,2.88,3.00,0.00,0.00,unch,0,0,0.00,42.43%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3250.00WP,$SPX,"3,250.00",-21.80%,3.00,3.15,3.30,0.00,0.00,unch,0,0,0.00,40.77%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3300.00WP,$SPX,"3,300.00",-20.59%,3.40,3.55,3.70,0.00,0.00,unch,0,0,0.00,39.28%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3350.00WP,$SPX,"3,350.00",-19.39%,3.90,4.05,4.20,3.98,3.98,unch,1,0,0.00,37.74%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|3375.00WP,$SPX,"3,375.00",-18.79%,4.10,4.25,4.40,0.00,0.00,unch,0,0,0.00,37.02%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3400.00WP,$SPX,"3,400.00",-18.19%,4.40,4.55,4.70,4.75,4.75,unch,2,0,0.00,36.31%,Put,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|3425.00WP,$SPX,"3,425.00",-17.59%,4.70,4.85,5.00,0.00,0.00,unch,0,0,0.00,35.57%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3450.00WP,$SPX,"3,450.00",-16.98%,5.00,5.15,5.30,0.00,0.00,unch,0,0,0.00,34.80%,Put,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|3475.00WP,$SPX,"3,475.00",-16.38%,5.30,5.50,5.70,0.00,0.00,unch,0,0,0.00,34.06%,Put,31,06/21/21,N/A,15.25%,13.72%
